Name,Latitude,Longitude,Country
Puerto Williams,-54.9333,Chile
Ushuaia,-54.8019,Argentina
King Edward Point,-54.2833,South Georgia And South Sandwich Islands
Grytviken,-54.2806,South Georgia and South Sandwich Islands
Rio Grande,-53.7833,Argentina
Punta Arenas,-53.1667,Chile
Puerto Natales,-51.7333,Chile
Stanley,-51.7,Falkland Islands (Islas Malvinas)
Veintiocho de Noviembre,-51.65,Argentina
Rio Gallegos,-51.6233,Argentina
Yacimiento Rio Turbio,-51.5333,Argentina
El Calafate,-50.3333,Argentina
Comandante Luis Piedra Buena,-49.983,Argentina
San Julian,-49.3,Argentina
Gobernador Gregores,-48.7667,Argentina
Villa O'Higgins,-48.4683,Chile
Puerto Deseado,-47.75,Argentina
Cochrane,-47.2547,Chile
Halfmoon Bay,-46.9,New Zealand
Pico Truncado,-46.795,Argentina
Perito Moreno,-46.5886,Argentina
Las Heras,-46.55,Argentina
Caleta Olivia,-46.4333,Argentina
Invercargill,-46.4131,New Zealand
Glencoe,-46.1833,New Zealand
Rada Tilly,-45.9333,Argentina
Mosgiel,-45.875,New Zealand
Dunedin,-45.8742,New Zealand
Comodoro Rivadavia,-45.8647,Argentina
Rio Mayo,-45.6869,Argentina
Sarmiento,-45.6,Argentina
Coyhaique,-45.5667,Chile
Te Anau,-45.4167,New Zealand
Puerto Aysen,-45.4,Chile
Alto Rio Senguer,-45.0167,Argentina
Macetown,-44.865,New Zealand
Wanaka,-44.7,New Zealand
Timaru,-44.3931,New Zealand
Ashton,-44.0333,New Zealand
Waitangi,-43.9514,New Zealand
Rolleston,-43.5833,New Zealand
Christchurch,-43.531,New Zealand
Kairaki,-43.386,New Zealand
Rawson,-43.3,Argentina
Trelew,-43.25,Argentina
Quellon,-43.0992,Chile
Kingston,-42.9769,Australia
Esquel,-42.9,Argentina
Hobart,-42.8806,Australia
Puerto Madryn,-42.7667,Argentina
Hokitika,-42.7156,New Zealand
Chonchi,-42.6219,Chile
Castro,-42.4667,Chile
Greymouth,-42.45,New Zealand
Kaikoura,-42.4,New Zealand
Telsen,-42.3833,Argentina
Oatlands,-42.3,Australia
Gastre,-42.2667,Argentina
Queenstown,-42.0667,Australia
El Maiten,-42.05,Argentina
El Bolson,-41.9667,Argentina
Bicheno,-41.8667,Australia
Ancud,-41.8667,Chile
Calbuco,-41.7667,Chile
Westport,-41.7581,New Zealand
Maullin,-41.6167,Chile
Blenheim,-41.5167,New Zealand
Puerto Montt,-41.4667,Chile
Launceston,-41.4419,Australia
Los Muermos,-41.4,Chile
Alerce,-41.4,Chile
Richmond,-41.3333,New Zealand
Puerto Varas,-41.3167,Chile
Ingeniero Jacobacci,-41.3,Argentina
Wellington,-41.2889,New Zealand
Nelson,-41.2708,New Zealand
Llanquihue,-41.2581,Chile
Lower Hutt,-41.2167,New Zealand
Devonport,-41.18,Australia
Scottsdale,-41.1667,Australia
Ulverstone,-41.1667,Australia
San Carlos de Bariloche,-41.15,Argentina
Porirua,-41.1333,New Zealand
Upper Hutt,-41.1333,New Zealand
Frutillar,-41.1258,Chile
Frutillar Alto,-41.1228,Chile
Burnie,-41.0636,Australia
Comallo,-41.0333,Argentina
Masterton,-40.97,New Zealand
Puerto Octay,-40.9667,Chile
Purranque,-40.9167,Chile
Paraparaumu,-40.9167,New Zealand
Paraparaumu Beach,-40.8938,New Zealand
Waikanae,-40.875,New Zealand
Smithton,-40.844,Australia
Viedma,-40.8,Argentina
Rio Negro,-40.7833,Chile
Carmen de Patagones,-40.7833,Argentina
Villa La Angostura,-40.7625,Argentina
San Antonio Oeste,-40.7333,Argentina
Levin,-40.6219,New Zealand
Sierra Colorada,-40.5833,Argentina
Osorno,-40.5725,Chile
San Pablo,-40.4,Chile
Palmerston North,-40.355,New Zealand
Lago Ranco,-40.3167,Chile
Rio Bueno,-40.3167,Chile
La Union,-40.2833,Chile
Feilding,-40.2167,New Zealand
San Martin de los Andes,-40.1667,Argentina
Futrono,-40.1333,Chile
General Conesa,-40.1,Argentina
Paillaco,-40.0667,Chile
Whanganui,-39.9325,New Zealand
Junin de los Andes,-39.9167,Argentina
Villalonga,-39.8829,Argentina
Los Lagos,-39.85,Chile
Valdivia,-39.8139,Chile
Havelock North,-39.6667,New Zealand
Panguipulli,-39.6444,Chile
Hawera,-39.5933,New Zealand
Pedro Luro,-39.5,Argentina
Napier,-39.4903,New Zealand
Lanco,-39.45,Chile
Loncoche,-39.3667,Chile
Stratford,-39.3333,New Zealand
Pucon,-39.2767,Chile
Villarrica,-39.2667,Chile
Choele Choel,-39.2667,Argentina
Tolten,-39.2166,Chile
Nueva Tolten,-39.1786,Chile
Villa Regina,-39.1,Argentina
Gorbea,-39.1,Chile
New Plymouth,-39.0578,New Zealand
General Roca,-39.0333,Argentina
Teodoro Schmidt,-38.9949,Chile
Rio Colorado,-38.9908,Argentina
Turangi,-38.9889,New Zealand
Pitrufquen,-38.9833,Chile
Allen,-38.9667,Argentina
Freire,-38.9558,Chile
Neuquen,-38.9525,Argentina
Plottier,-38.95,Argentina
Plaza Huincul,-38.9338,Argentina
Cutral-Co,-38.9333,Argentina
Cipolletti,-38.9333,Argentina
Cunco,-38.9167,Chile
Zapala,-38.9,Argentina
Punta Alta,-38.88,Argentina
Cinco Saltos,-38.8167,Argentina
Centenario,-38.8,Argentina
Ingeniero White,-38.7667,Argentina
Padre Las Casas,-38.7667,Chile
Nueva Imperial,-38.7433,Chile
Temuco,-38.7333,Chile
Bahia Blanca,-38.7167,Argentina
Carahue,-38.7089,Chile
Coronel Dorrego,-38.7,Argentina
Taupo,-38.6875,New Zealand
Gisborne,-38.6625,New Zealand
Vilcun,-38.65,Chile
Wonthaggi,-38.6056,Australia
Cholchol,-38.6,Chile
Las Lajas,-38.6,Argentina
Necochea,-38.55,Argentina
Lautaro,-38.5167,Chile
Curacautin,-38.4333,Chile
Lonquimay,-38.4333,Chile
Galvarino,-38.4,Chile
Warrnambool,-38.3833,Australia
Tres Arroyos,-38.3667,Argentina
Tirua,-38.3414,Chile
Colac,-38.3403,Australia
Portland,-38.3333,Australia
Torquay,-38.3333,Australia
Miramar,-38.2667,Argentina
Barwon Heads,-38.25,Australia
Traiguen,-38.25,Chile
Victoria,-38.2333,Chile
Morwell,-38.2333,Australia
Somerville,-38.226,Australia
Tokoroa,-38.2167,New Zealand
Traralgon,-38.1958,Australia
Leopold,-38.1892,Australia
Mount Eliza,-38.189,Australia
Moe,-38.1722,Australia
Frankston,-38.158,Australia
Geelong,-38.15,Australia
Lumaco,-38.15,Chile
Warragul,-38.15,Australia
Rotorua,-38.1378,New Zealand
Loberia,-38.1333,Argentina
Drouin,-38.1333,Australia
Sale,-38.1,Australia
Cranbourne,-38.0996,Australia
Pakenham,-38.0712,Australia
Adolfo Gonzales Chaves,-38.0333,Argentina
Puren,-38.0319,Chile
Lara,-38.0167,Australia
Te Awamutu,-38.0167,New Zealand
Batan,-38.0078,Argentina
Mar del Plata,-38.0,Argentina
Dandenong,-37.981,Australia
Whakatane,-37.96,New Zealand
Collipulli,-37.95,Chile
Cambridge,-37.8833,New Zealand
Catriel,-37.8667,Argentina
Balcarce,-37.8456,Argentina
Bairnsdale,-37.8333,Australia
Mount Gambier,-37.8294,Australia
Melbourne,-37.8142,Australia
Angol,-37.8,Chile
Canete,-37.7994,Chile
Hamilton,-37.7833,New Zealand
Mount Evelyn,-37.783,Australia
Veinticinco de Mayo,-37.7712,Argentina
Hamilton,-37.7333,Australia
Mulchen,-37.7167,Chile
Darregueira,-37.6996,Argentina
Melton,-37.6833,Australia
Tauranga,-37.6833,New Zealand
Santa Barbara,-37.6706,Chile
Renaico,-37.6667,Chile
Benito Juarez,-37.6667,Argentina
Los Alamos,-37.6272,Chile
Lebu,-37.6,Chile
Negrete,-37.5833,Chile
Wollert,-37.5833,Australia
Sunbury,-37.5811,Australia
Ballarat,-37.5608,Australia
Nacimiento,-37.5,Chile
Gisborne,-37.49,Australia
Curanilahue,-37.4764,Chile
Coronel Suarez,-37.4667,Argentina
Los Angeles,-37.4667,Chile
Wallan,-37.4167,Australia
General Acha,-37.3833,Argentina
Chos Malal,-37.3833,Argentina
Penola,-37.3786,Australia
Tandil,-37.3167,Argentina
Ararat,-37.2833,Australia
Tucapel,-37.2833,Chile
Laja,-37.2667,Chile
Villa Gesell,-37.2556,Argentina
Arauco,-37.25,Chile
Waiuku,-37.249,New Zealand
Pukekohe East,-37.2,New Zealand
Carhue,-37.1796,Argentina
Thames,-37.1383,New Zealand
Ayacucho,-37.1333,Argentina
Yumbel,-37.1333,Chile
Yungay,-37.1194,Chile
Pinamar,-37.1,Argentina
Lota,-37.0833,Chile
Edinburgh of the Seven Seas,-37.0675,Saint Helena
Stawell,-37.05,Australia
Maryborough,-37.05,Australia
Cabrero,-37.0333,Chile
Seymour,-37.03,Australia
General Juan Madariaga,-37.0167,Argentina
Coronel,-37.0167,Chile
Manukau City,-37.0,New Zealand
Hualqui,-36.96,Chile
Chiguayante,-36.9167,Chile
Olavarria,-36.9,Argentina
Merimbula,-36.8983,Australia
Maipu,-36.8667,Argentina
Waitakere,-36.85,New Zealand
Auckland,-36.8406,New Zealand
Concepcion,-36.8282,Chile
Florida,-36.8167,Chile
Kingston South East,-36.8167,Australia
Northcote,-36.8019,New Zealand
Kangaroo Flat,-36.7833,Australia
Azul,-36.7833,Argentina
Bendigo,-36.75,Australia
Huachipato,-36.7481,Chile
Bulnes,-36.7333,Chile
Penco,-36.7333,Chile
Mar de Ajo,-36.7203,Argentina
Talcahuano,-36.7167,Chile
Horsham,-36.7167,Australia
Pinto,-36.7,Chile
Chillan Viejo,-36.6229,Chile
Santa Rosa,-36.6167,Argentina
Tome,-36.6167,Chile
Chillan,-36.6067,Chile
Daireaux,-36.6,Argentina
Benalla,-36.5519,Australia
Coelemu,-36.4878,Chile
Shepparton,-36.3833,Australia
Wangaratta,-36.3583,Australia
Dolores,-36.3167,Argentina
Bordertown,-36.3118,Australia
Henderson,-36.2833,Argentina
Quirihue,-36.2833,Chile
Chanco,-36.2667,Chile
Cooma,-36.2317,Australia
Victorica,-36.2167,Argentina
Parral,-36.15,Chile
Echuca,-36.1333,Australia
Wodonga,-36.1214,Australia
Albury,-36.0806,Australia
General Alvear,-36.0333,Argentina
Retiro,-36.0333,Chile
Las Flores,-36.0139,Argentina
Longavi,-35.9667,Chile
Cobram,-35.9667,Australia
Cauquenes,-35.9667,Chile
Linares,-35.85,Chile
General Belgrano,-35.7667,Argentina
Yerbas Buenas,-35.75,Chile
Whangarei,-35.725,New Zealand
Batemans Bay,-35.7081,Australia
Colbun,-35.7,Chile
Meningie,-35.6883,Australia
General Pico,-35.6667,Argentina
Villa Alegre,-35.6667,Chile
Carlos Casares,-35.6167,Argentina
San Javier,-35.5924,Chile
Chascomus,-35.575,Argentina
Victor Harbor,-35.55,Australia
San Clemente,-35.55,Chile
Maule,-35.5333,Chile
Deniliquin,-35.5331,Australia
Malargue,-35.475,Argentina
Nueve de Julio,-35.45,Argentina
Talca,-35.4269,Chile
Veinticinco de Mayo,-35.4167,Argentina
Queanbeyan,-35.3533,Australia
Ulladulla,-35.3486,Australia
Swan Hill,-35.3333,Australia
Constitucion,-35.3333,Chile
Tumut,-35.3039,Australia
Canberra,-35.2931,Australia
Kerikeri,-35.2244,New Zealand
Lobos,-35.1833,Argentina
Brandsen,-35.1667,Argentina
Wagga Wagga,-35.1189,Australia
Murray Bridge,-35.117,Australia
Bragado,-35.1167,Argentina
Molina,-35.1144,Chile
Kaitaia,-35.1125,New Zealand
Curepto,-35.0833,Chile
Magdalena,-35.0833,Argentina
Ouyen,-35.0667,Australia
Mount Barker,-35.0667,Australia
Canuelas,-35.0333,Argentina
General Villegas,-35.0333,Argentina
Albany,-35.0228,Australia
Navarro,-35.0167,Argentina
General Viamonte,-35.0,Argentina
Sagrada Familia,-35.0,Chile
Curico,-34.9833,Chile
Hualane,-34.9765,Chile
General Alvear,-34.9667,Argentina
Punta del Este,-34.9667,Uruguay
Alejandro Korn,-34.9667,Argentina
Melchor Romero,-34.9492,Argentina
Bellavista,-34.9333,Chile
General Las Heras,-34.9333,Argentina
Adelaide,-34.9275,Australia
La Plata,-34.9211,Argentina
Rauco,-34.9167,Chile
Guernica,-34.9167,Argentina
Maldonado,-34.9,Uruguay
Chivilcoy,-34.9,Argentina
Piriapolis,-34.9,Uruguay
Montevideo,-34.8836,Uruguay
Carlos Spegazzini,-34.8833,Argentina
Glew,-34.8833,Argentina
Nowra,-34.8808,Australia
Berisso,-34.8728,Argentina
Paso de Carrasco,-34.8714,Uruguay
Teno,-34.8667,Chile
Ensenada,-34.8644,Argentina
Longchamps,-34.85,Argentina
Lincoln,-34.85,Argentina
Manuel B. Gonnet,-34.85,Argentina
City Bell,-34.85,Argentina
Jose Maria Ezeiza,-34.8333,Argentina
Huinca Renanco,-34.8333,Argentina
Florencio Varela,-34.8167,Argentina
Esteban Echeverria,-34.8167,Argentina
Colonia Nicolich,-34.8167,Uruguay
Ciudad de la Costa,-34.8167,Uruguay
Burzaco,-34.8167,Argentina
Florencio Varela,-34.8167,Argentina
Claypole,-34.8,Argentina
Adrogue,-34.8,Argentina
San Carlos,-34.8,Uruguay
El Pinar,-34.7972,Uruguay
Jose Marmol,-34.7833,Argentina
Salinas,-34.7833,Uruguay
Rafael Calzada,-34.7833,Argentina
Ciudad del Plata,-34.7667,Uruguay
Gonzalez Catan,-34.7667,Argentina
Llavallol,-34.7667,Argentina
Lomas de Zamora,-34.7667,Argentina
San Francisco Solano,-34.7667,Argentina
Marcos Paz,-34.7667,Argentina
Temperley,-34.7667,Argentina
La Paz,-34.7617,Uruguay
Goulburn,-34.7547,Australia
Barros Blancos,-34.7542,Uruguay
Ezpeleta,-34.7517,Argentina
Banfield,-34.75,Argentina
Chepica,-34.7333,Chile
Monte Chingolo,-34.7333,Argentina
Port Lincoln,-34.7322,Australia
Pando,-34.7167,Uruguay
Las Piedras,-34.7167,Uruguay
Remedios de Escalada,-34.7167,Argentina
Quilmes,-34.7167,Argentina
Mariano Acosta,-34.7167,Argentina
Rafael Castillo,-34.7167,Argentina
Ciudad General Belgrano,-34.7167,Argentina
Berazategui,-34.7167,Argentina
Chimbarongo,-34.7089,Chile
Aldo Bonzi,-34.7083,Argentina
Tapiales,-34.7058,Argentina
Villa Celina,-34.7006,Argentina
Don Bosco,-34.7,Argentina
Isidro Casanova,-34.7,Argentina
Bernal,-34.7,Argentina
Wilde,-34.7,Argentina
Lanus,-34.7,Argentina
Villa Dominico,-34.6917,Argentina
Gerli,-34.6833,Argentina
Sarandi,-34.6833,Argentina
San Justo,-34.6833,Argentina
Libertad,-34.6833,Argentina
Kiama,-34.6708,Australia
Ituzaingo,-34.6667,Argentina
Nancagua,-34.6667,Chile
Villa Luzuriaga,-34.6667,Argentina
Lomas del Mirador,-34.6667,Argentina
Villa Alsina,-34.6667,Argentina
Castelar,-34.6667,Argentina
Merlo,-34.6653,Argentina
Progreso,-34.665,Uruguay
Avellaneda,-34.6625,Argentina
Moron,-34.65,Argentina
Ramos Mejia,-34.65,Argentina
Haedo,-34.65,Argentina
La Paloma,-34.65,Uruguay
Mercedes,-34.65,Argentina
Dock Sur,-34.6417,Argentina
La Reja,-34.6394,Argentina
Santa Cruz,-34.6372,Chile
Chacabuco,-34.6333,Argentina
Villa Sarmiento,-34.6333,Argentina
Libertad,-34.6333,Uruguay
Ciudadela,-34.6333,Argentina
Mount Barker,-34.63,Australia
General Rodriguez,-34.6167,Argentina
El Palomar,-34.6167,Argentina
Caseros,-34.6106,Argentina
Palmilla,-34.6042,Chile
Martin Coronado,-34.6,Argentina
San Rafael,-34.6,Argentina
Buenos Aires,-34.5997,Argentina
Gawler,-34.5981,Australia
Hurlingham,-34.5883,Argentina
San Fernando,-34.5833,Chile
Junin,-34.5833,Argentina
Billinghurst,-34.5667,Argentina
Leeton,-34.5667,Australia
Lujan,-34.5667,Argentina
Moss Vale,-34.55,Australia
San Miguel,-34.5333,Argentina
Munro,-34.5333,Argentina
Bella Vista,-34.5333,Argentina
Muniz,-34.5333,Argentina
Bredasdorp,-34.5333,South Africa
Vicente Lopez,-34.5333,Argentina
Villa Adelina,-34.5175,Argentina
Canelones,-34.5167,Uruguay
Jose C. Paz,-34.5167,Argentina
Florida,-34.5167,Argentina
Don Torcuato,-34.5,Argentina
Los Polvorines,-34.5,Argentina
Peralillo,-34.4875,Chile
Rocha,-34.4833,Uruguay
Grand Bourg,-34.4833,Argentina
Martinez,-34.4833,Argentina
La Lucila,-34.4833,Argentina
Bowral,-34.4792,Australia
El Talar de Pacheco,-34.4719,Argentina
Colonia del Sacramento,-34.4714,Uruguay
San Isidro,-34.4667,Argentina
Beccar,-34.4667,Argentina
Ingeniero Pablo Nogues,-34.4667,Argentina
Acasusso,-34.4667,Argentina
Pilar,-34.4588,Argentina
Santa Lucia,-34.4525,Uruguay
General Pacheco,-34.45,Argentina
Rinconada de Malloa,-34.4464,Chile
San Vicente de Tagua Tagua,-34.4394,Chile
Wollongong,-34.4331,Australia
Juan L. Lacaze,-34.4311,Uruguay
Hermanus,-34.4167,South Africa
Garin,-34.4167,Argentina
Rengo,-34.4167,Chile
Peumo,-34.3961,Chile
Pichilemu,-34.3919,Chile
Carmen de Areco,-34.3858,Argentina
Matheu,-34.3667,Argentina
Ingeniero Maschwitz,-34.3667,Argentina
Tumby Bay,-34.3667,Australia
Minas,-34.3667,Uruguay
Pichidegua,-34.3586,Chile
Quinta de Tilcoco,-34.3547,Chile
Belen de Escobar,-34.3333,Argentina
San Jose,-34.3333,Uruguay
Rosario,-34.3139,Uruguay
Coltauco,-34.3,Chile
Young,-34.3,Australia
Las Cabras,-34.2917,Chile
Griffith,-34.29,Australia
Capilla del Senor,-34.2833,Argentina
Berri,-34.2833,Australia
Nueva Helvecia,-34.2833,Uruguay
Requinoa,-34.2786,Chile
Rufino,-34.2667,Argentina
Manjimup,-34.2411,Australia
Olivar Bajo,-34.233,Chile
Caledon,-34.23,South Africa
Donihue,-34.2261,Chile
Aigua,-34.2,Uruguay
Castillos,-34.1989,Uruguay
Lo Miranda,-34.19,Chile
Mildura,-34.1889,Australia
Mossel Bay,-34.1833,South Africa
Machali,-34.1825,Chile
Capitan Sarmiento,-34.1667,Argentina
Campana,-34.1667,Argentina
Rancagua,-34.1667,Chile
Laboulaye,-34.1167,Argentina
Florida,-34.1,Uruguay
Zarate,-34.0833,Argentina
Campbelltown,-34.0733,Australia
Arrecifes,-34.0667,Argentina
Graneros,-34.0647,Chile
Mitchells Plain,-34.0506,South Africa
Plettenberg Bay,-34.05,South Africa
Khayelitsha,-34.0403,South Africa
Knysna,-34.0356,South Africa
Codegua,-34.0347,Chile
Kuilsrivier,-34.0333,South Africa
Jeffrey's Bay,-34.0333,South Africa
Swellendam,-34.0231,South Africa
Villa Canas,-34.0,Argentina
Carmelo,-34.0,Uruguay
Summerstrand,-33.9914,South Africa
Villiersdorp,-33.9833,South Africa
San Francisco de Mostazal,-33.9799,Chile
George,-33.9667,South Africa
Port Elizabeth,-33.9581,South Africa
Stellenbosch,-33.9367,South Africa
Cape Town,-33.9253,South Africa
Wallaroo,-33.9167,Australia
San Pedro,-33.8944,Chile
Pergamino,-33.8836,Argentina
Colon,-33.8833,Argentina
Nueva Palmira,-33.8833,Uruguay
Sydney,-33.8678,Australia
Justo Daract,-33.8667,Argentina
Esperance,-33.8611,Australia
Clare,-33.8333,Australia
Cowra,-33.8183,Australia
Paine,-33.8167,Chile
Baradero,-33.8,Argentina
Robertson,-33.8,South Africa
Montagu,-33.7833,South Africa
