Name,Latitude,Longitude,Country
Puerto Williams,-54.9333,-67.6167,Chile
Ushuaia,-54.8019,-68.3031,Argentina
King Edward Point,-54.2833,-36.5,South Georgia And South Sandwich Islands
Grytviken,-54.2806,-36.508,South Georgia and South Sandwich Islands
Rio Grande,-53.7833,-67.7,Argentina
Punta Arenas,-53.1667,-70.9333,Chile
Puerto Natales,-51.7333,-72.5167,Chile
Stanley,-51.7,-57.85,Falkland Islands (Islas Malvinas)
Veintiocho de Noviembre,-51.65,-72.3,Argentina
Rio Gallegos,-51.6233,-69.2161,Argentina
Yacimiento Rio Turbio,-51.5333,-72.3,Argentina
El Calafate,-50.3333,-72.2833,Argentina
Comandante Luis Piedra Buena,-49.983,-68.91,Argentina
San Julian,-49.3,-67.7167,Argentina
Gobernador Gregores,-48.7667,-70.25,Argentina
Villa O'Higgins,-48.4683,-72.56,Chile
Puerto Deseado,-47.75,-65.9167,Argentina
Cochrane,-47.2547,-72.575,Chile
Halfmoon Bay,-46.9,168.1333,New Zealand
Pico Truncado,-46.795,-67.955,Argentina
Perito Moreno,-46.5886,-70.9242,Argentina
Las Heras,-46.55,-68.95,Argentina
Caleta Olivia,-46.4333,-67.5333,Argentina
Invercargill,-46.4131,168.3475,New Zealand
Glencoe,-46.1833,168.6833,New Zealand
Rada Tilly,-45.9333,-67.5333,Argentina
Mosgiel,-45.875,170.3486,New Zealand
Dunedin,-45.8742,170.5036,New Zealand
Comodoro Rivadavia,-45.8647,-67.4808,Argentina
Rio Mayo,-45.6869,-70.26,Argentina
Sarmiento,-45.6,-69.0833,Argentina
Coyhaique,-45.5667,-72.0667,Chile
Te Anau,-45.4167,167.7167,New Zealand
Puerto Aysen,-45.4,-72.6833,Chile
Alto Rio Senguer,-45.0167,-70.8167,Argentina
Macetown,-44.865,168.819,New Zealand
Wanaka,-44.7,169.15,New Zealand
Timaru,-44.3931,171.2508,New Zealand
Ashton,-44.0333,171.7667,New Zealand
Waitangi,-43.9514,-176.5611,New Zealand
Rolleston,-43.5833,172.3833,New Zealand
Christchurch,-43.531,172.6365,New Zealand
Kairaki,-43.386,172.703,New Zealand
Rawson,-43.3,-65.1,Argentina
Trelew,-43.25,-65.3,Argentina
Quellon,-43.0992,-73.5961,Chile
Kingston,-42.9769,147.3083,Australia
Esquel,-42.9,-71.3167,Argentina
Hobart,-42.8806,147.325,Australia
Puerto Madryn,-42.7667,-65.05,Argentina
Hokitika,-42.7156,170.9681,New Zealand
Chonchi,-42.6219,-73.7742,Chile
Castro,-42.4667,-73.8,Chile
Greymouth,-42.45,171.2075,New Zealand
Kaikoura,-42.4,173.68,New Zealand
Telsen,-42.3833,-66.95,Argentina
Oatlands,-42.3,147.3706,Australia
Gastre,-42.2667,-69.2167,Argentina
Queenstown,-42.0667,145.55,Australia
El Maiten,-42.05,-71.1667,Argentina
El Bolson,-41.9667,-71.5333,Argentina
Ancud,-41.8667,-73.8333,Chile
Bicheno,-41.8667,148.2833,Australia
Calbuco,-41.7667,-73.1333,Chile
Westport,-41.7581,171.6022,New Zealand
Maullin,-41.6167,-73.6,Chile
Blenheim,-41.5167,173.95,New Zealand
Puerto Montt,-41.4667,-72.9333,Chile
Launceston,-41.4419,147.145,Australia
Alerce,-41.4,-72.9333,Chile
Los Muermos,-41.4,-73.4833,Chile
Richmond,-41.3333,173.1833,New Zealand
Puerto Varas,-41.3167,-72.9833,Chile
Ingeniero Jacobacci,-41.3,-69.5833,Argentina
Wellington,-41.2889,174.7772,New Zealand
Nelson,-41.2708,173.2839,New Zealand
Llanquihue,-41.2581,-73.0086,Chile
Lower Hutt,-41.2167,174.9167,New Zealand
Devonport,-41.18,146.3503,Australia
Ulverstone,-41.1667,146.1667,Australia
Scottsdale,-41.1667,147.5167,Australia
San Carlos de Bariloche,-41.15,-71.3,Argentina
Porirua,-41.1333,174.85,New Zealand
Upper Hutt,-41.1333,175.05,New Zealand
Frutillar,-41.1258,-73.0605,Chile
Frutillar Alto,-41.1228,-73.0581,Chile
Burnie,-41.0636,145.8753,Australia
Comallo,-41.0333,-70.2667,Argentina
Masterton,-40.97,175.65,New Zealand
Puerto Octay,-40.9667,-72.9,Chile
Paraparaumu,-40.9167,175.0167,New Zealand
Purranque,-40.9167,-73.1667,Chile
Paraparaumu Beach,-40.8938,174.9794,New Zealand
Waikanae,-40.875,175.0639,New Zealand
Smithton,-40.844,145.12,Australia
Viedma,-40.8,-63.0,Argentina
Carmen de Patagones,-40.7833,-62.9667,Argentina
Rio Negro,-40.7833,-73.2,Chile
Villa La Angostura,-40.7625,-71.6463,Argentina
San Antonio Oeste,-40.7333,-64.95,Argentina
Levin,-40.6219,175.2867,New Zealand
Sierra Colorada,-40.5833,-67.8,Argentina
Osorno,-40.5725,-73.1353,Chile
San Pablo,-40.4,-73.0167,Chile
Palmerston North,-40.355,175.6117,New Zealand
Rio Bueno,-40.3167,-72.9667,Chile
Lago Ranco,-40.3167,-72.5,Chile
La Union,-40.2833,-73.0833,Chile
Feilding,-40.2167,175.5667,New Zealand
San Martin de los Andes,-40.1667,-71.35,Argentina
Futrono,-40.1333,-72.4,Chile
General Conesa,-40.1,-64.4167,Argentina
Paillaco,-40.0667,-72.8833,Chile
Whanganui,-39.9325,175.0519,New Zealand
Junin de los Andes,-39.9167,-71.0667,Argentina
Villalonga,-39.8829,-62.5833,Argentina
Los Lagos,-39.85,-72.8333,Chile
Valdivia,-39.8139,-73.2458,Chile
Havelock North,-39.6667,176.8833,New Zealand
